Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
147,4.90,32.82661312,34.99458647,32.82663345,34.99460602,32.82662964,34.99460220,0.8333,3.14,0,-1,optical_flow
150,5.00,32.82658154,34.99459927,32.82660675,34.99459839,32.82660294,34.99459839,0.8267,2.81,0,-1,optical_flow
153,5.10,32.82656035,34.99459952,32.82658005,34.99459457,32.82657623,34.99459457,0.8267,2.26,0,-1,optical_flow
156,5.20,32.82652939,34.99460339,32.82655334,34.99459076,32.82654953,34.99459457,0.8267,3.01,0,-1,optical_flow
159,5.30,32.82651046,34.99460778,32.82652664,34.99459076,32.82652283,34.99459457,0.8267,2.61,0,-1,optical_flow
162,5.40,32.82647369,34.99460440,32.82649994,34.99459076,32.82649612,34.99459457,0.8267,3.29,0,-1,optical_flow
165,5.50,32.82645032,34.99460540,32.82647324,34.99459076,32.82646942,34.99459457,0.8267,3.03,0,-1,optical_flow
168,5.60,32.82641627,34.99460266,32.82644653,34.99459076,32.82643890,34.99459457,0.8267,3.62,0,-1,optical_flow
171,5.70,32.82639925,34.99459983,32.82641602,34.99459076,32.82641220,34.99459076,0.8267,2.12,0,-1,optical_flow
174,5.80,32.82637027,34.99458865,32.82638931,34.99458694,32.82638550,34.99458694,0.8133,2.13,0,-1,optical_flow
177,5.90,32.82635304,34.99458106,32.82635880,34.99458313,32.82635880,34.99458313,0.8133,0.68,0,-1,optical_flow
180,6.00,32.82633848,34.99451542,32.82633209,34.99457932,32.82633209,34.99456787,0.7800,7.15,0,-1,optical_flow
183,6.10,32.82632917,34.99447415,32.82630539,34.99456406,32.82630920,34.99454880,0.7467,10.35,0,-1,optical_flow
186,6.20,32.82631825,34.99445984,32.82628632,34.99454498,32.82629013,34.99452972,0.7400,10.12,0,-1,optical_flow
189,6.30,32.82630452,34.99446723,32.82626724,34.99452591,32.82627487,34.99451447,0.7333,7.74,0,-1,optical_flow
192,6.40,32.82628858,34.99448311,32.82625198,34.99450684,32.82625961,34.99450302,0.7333,4.86,0,-1,optical_flow
195,6.50,32.82627413,34.99449391,32.82623672,34.99449539,32.82624435,34.99449539,0.7267,4.17,0,-1,optical_flow
198,6.60,32.82625627,34.99450449,32.82622147,34.99448776,32.82622910,34.99449158,0.7200,4.30,0,-1,optical_flow
201,6.70,32.82624317,34.99450606,32.82620621,34.99448395,32.82621384,34.99448776,0.7200,4.79,0,-1,optical_flow
204,6.80,32.82621836,34.99450973,32.82619095,34.99448013,32.82619476,34.99448395,0.7133,4.49,0,-1,optical_flow
207,6.90,32.82619999,34.99451212,32.82617188,34.99448013,32.82617569,34.99448395,0.7067,4.74,0,-1,optical_flow
210,7.00,32.82617097,34.99450722,32.82615280,34.99448013,32.82615662,34.99448395,0.6800,3.63,0,-1,optical_flow
213,7.10,32.82615084,34.99450444,32.82613373,34.99448013,32.82613754,34.99448395,0.6800,3.31,0,-1,optical_flow
216,7.20,32.82612104,34.99449864,32.82611465,34.99448013,32.82611465,34.99448395,0.6667,2.18,0,-1,optical_flow
219,7.30,32.82609894,34.99448982,32.82609177,34.99448013,32.82609177,34.99448395,0.6533,1.34,0,-1,optical_flow
222,7.40,32.82606673,34.99448581,32.82607269,34.99448013,32.82607269,34.99448013,0.6200,0.92,0,-1,optical_flow
225,7.50,32.82604482,34.99447293,32.82604980,34.99447632,32.82604980,34.99447632,0.5800,0.67,0,-1,optical_flow
228,7.60,32.82600523,34.99440602,32.82602692,34.99447250,32.82602310,34.99446106,0.5267,7.79,0,-1,optical_flow
231,7.70,32.82598516,34.99439606,32.82600021,34.99445724,32.82599640,34.99444962,0.4733,7.01,0,-1,optical_flow
234,7.80,32.82595372,34.99439735,32.82597351,34.99444580,32.82596970,34.99443817,0.4333,5.83,0,-1,optical_flow
237,7.90,32.82593732,34.99440795,32.82594681,34.99443054,32.82594681,34.99442673,0.4000,2.73,0,-1,optical_flow
