Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm
0,0.00,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.8112,0.16,0,47,orb
3,0.10,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.8573,0.16,0,47,orb
6,0.20,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.7598,0.16,0,47,orb
9,0.30,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.7609,0.16,0,47,orb
12,0.40,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.8199,0.16,0,47,orb
15,0.50,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.8676,0.16,0,47,orb
18,0.60,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9610,0.16,0,47,orb
21,0.70,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
24,0.80,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
27,0.90,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
30,1.00,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
33,1.10,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
36,1.20,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
39,1.30,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9924,0.16,0,47,orb
42,1.40,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
45,1.50,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9156,0.16,0,47,orb
48,1.60,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9421,0.16,0,47,orb
51,1.70,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
54,1.80,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,1.0000,0.16,0,47,orb
57,1.90,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9674,0.16,0,47,orb
60,2.00,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9369,0.16,0,47,orb
63,2.10,32.83883542,34.99508209,32.83883667,34.99508286,32.83883667,34.99508286,0.9211,0.16,0,47,orb
